ID	Star	Title	Description	UnlockLevel	NumUpgrades	PriceSoft	PriceHard	ValueA	ValueB
0	2	0	0	0	0	590	6	0.3	0.3
0	3	0	0	0	0	1980	20	0.4	0.4
0	4	0	0	0	0	3960	40	0.5	0.5
0	5	0	0	0	0	5940	60	0.6	0.6
0	6	0	0	0	0	29700	198	0.7	0.7
0	7	0	0	0	0	59400	396	0.8	0.8
0	8	0	0	0	0	106920	594	0.9	0.9
0	9	0	0	0	0	237600	792	1	1
6	0	TEXT76	TEXT156	25	9	3600	12	0.006	0
0	1	0	0	0	0	5760	20	0.009	0
0	2	0	0	0	0	7560	26	0.012	0
0	3	0	0	0	0	21600	72	0.015	0
0	4	0	0	0	0	48000	120	0.018	0
0	5	0	0	0	0	57600	144	0.021	0
0	6	0	0	0	0	144000	360	0.024	0
0	7	0	0	0	0	288000	720	0.027	0
0	8	0	0	0	0	648000	1080	0.03	0
0	9	0	0	0	0	1209600	1440	0.033	0
7	0	TEXT77	TEXT157	6	9	1500	16	0.3	0.4
0	1	0	0	0	0	700	6	0.35	0.45
0	2	0	0	0	0	790	8	0.4	0.5
0	3	0	0	0	0	2780	28	0.45	0.6
0	4	0	0	0	0	4920	50	0.5	0.65
0	5	0	0	0	0	6750	68	0.55	0.7
0	6	0	0	0	0	37800	252	0.6	0.8
0	7	0	0	0	0	95400	478	0.65	0.83
0	8	0	0	0	0	205200	684	0.7	0.86
0	9	0	0	0	0	386500	878	0.75	0.89
8	0	TEXT78	TEXT158	30	9	8750	18	0.05	0.1
0	1	0	0	0	0	4500	10	0.06	0.13
0	2	0	0	0	0	5500	12	0.07	0.16
0	3	0	0	0	0	19500	32	0.08	0.19
0	4	0	0	0	0	36000	60	0.09	0.22
0	5	0	0	0	0	51000	86	0.1	0.25
0	6	0	0	0	0	160000	272	0.11	0.28
0	7	0	0	0	0	336000	526	0.12	0.31
0	8	0	0	0	0	655500	766	0.13	0.34
0	9	0	0	0	0	1200000	1000	0.14	0.37
9	0	TEXT79	TEXT159	1	9	1	0	0.1	20
0	1	0	0	0	0	650	6	0.12	40
0	2	0	0	0	0	920	10	0.14	60
0	3	0	0	0	0	1680	16	0.16	120
0	4	0	0	0	0	3460	34	0.18	140
0	5	0	0	0	0	5400	54	0.2	160
0	6	0	0	0	0	33940	226	0.22	320
0	7	0	0	0	0	70200	468	0.24	380
0	8	0	0	0	0	145600	728	0.26	440
0	9	0	0	0	0	302400	1008	0.28	500
10	0	TEXT80	TEXT160	12	9	160	2	0.02	0.07
0	1	0	0	0	0	330	4	0.04	0.14
0	2	0	0	0	0	510	6	0.06	0.21
0	3	0	0	0	0	1730	18	0.08	0.28
0	4	0	0	0	0	3520	36	0.1	0.35
0	5	0	0	0	0	5380	54	0.12	0.42
0	6	0	0	0	0	27360	182	0.14	0.49
0	7	0	0	0	0	55680	372	0.16	0.56
0	8	0	0	0	0	115000	566	0.18	0.63
0	9	0	0	0	0	230000	768	0.2	0.7
11	0	TEXT81	TEXT161	12	9	160	2	0.07	0.02
0	1	0	0	0	0	330	4	0.14	0.04
0	2	0	0	0	0	510	6	0.21	0.06
0	3	0	0	0	0	1730	18	0.28	0.08
0	4	0	0	0	0	3520	36	0.35	0.1
0	5	0	0	0	0	5380	54	0.42	0.12
0	6	0	0	0	0	27360	182	0.49	0.14
0	7	0	0	0	0	55680	372	0.56	0.16
0	8	0	0	0	0	115000	566	0.63	0.18
0	9	0	0	0	0	230000	768	0.7	0.2
12	0	TEXT82	TEXT162	12	9	160	2	0.06	20
0	1	0	0	0	0	330	4	0.12	40
0	2	0	0	0	0	510	6	0.18	60
0	3	0	0	0	0	1730	18	0.24	80
0	4	0	0	0	0	3520	36	0.3	100
0	5	0	0	0	0	5380	54	0.36	120
0	6	0	0	0	0	27360	182	0.42	140
0	7	0	0	0	0	55680	372	0.48	160
0	8	0	0	0	0	115000	566	0.54	180
0	9	0	0	0	0	230000	768	0.6	200
13	0	TEXT83	TEXT163	7	9	150	2	0.05	0
0	1	0	0	0	0	300	4	0.1	0
0	2	0	0	0	0	450	4	0.15	0
0	3	0	0	0	0	1500	16	0.2	0
0	4	0	0	0	0	3000	30	0.25	0
0	5	0	0	0	0	4500	46	0.3	0
0	6	0	0	0	0	22500	150	0.35	0
0	7	0	0	0	0	45000	300	0.4	0
0	8	0	0	0	0	90000	450	0.45	0
0	9	0	0	0	0	180000	600	0.5	0
14	0	TEXT84	TEXT164	5	9	80	1	0.1	0
0	1	0	0	0	0	160	2	0.2	0
0	2	0	0	0	0	240	2	0.3	0
0	3	0	0	0	0	800	8	0.4	0
0	4	0	0	0	0	1600	16	0.5	0
0	5	0	0	0	0	2400	24	0.6	0
0	6	0	0	0	0	6000	60	0.7	0
0	7	0	0	0	0	18000	120	0.8	0
0	8	0	0	0	0	36000	180	0.9	0
0	9	0	0	0	0	72000	240	1	0
15	0	TEXT85	TEXT165	1	9	30	1	30	0
0	1	0	0	0	0	60	1	60	0
0	2	0	0	0	0	100	1	90	0
0	3	0	0	0	0	160	2	120	0
0	4	0	0	0	0	320	4	150	0
0	5	0	0	0	0	480	4	180	0
0	6	0	0	0	0	960	6	210	0
0	7	0	0	0	0	1920	12	240	0
0	8	0	0	0	0	2880	20	270	0
0	9	0	0	0	0	3840	26	300	0
16	0	TEXT86	TEXT166	20	9	1000	6	0.05	0
0	1	0	0	0	0	1600	8	0.1	0
0	2	0	0	0	0	1800	10	0.15	0
0	3	0	0	0	0	4000	20	0.2	0
0	4	0	0	0	0	8000	40	0.25	0
0	5	0	0	0	0	12000	60	0.3	0
0	6	0	0	0	0	40000	200	0.35	0
0	7	0	0	0	0	80000	400	0.4	0
0	8	0	0	0	0	159000	600	0.45	0
0	9	0	0	0	0	320000	800	0.5	0
17	0	TEXT87	TEXT167	7	9	100	2	0.1	0
0	1	0	0	7	0	200	2	0.2	0
0	2	0	0	7	0	300	4	0.3	0
0	3	0	0	7	0	600	6	0.4	0
0	4	0	0	7	0	1000	10	0.5	0
0	5	0	0	7	0	1500	16	0.6	0
0	6	0	0	7	0	4000	40	0.7	0
0	7	0	0	7	0	8000	80	0.8	0
0	8	0	0	7	0	18000	120	0.9	0
0	9	0	0	7	0	39600	198	0.99	0
