name	ID	star	damage	cd	ammo	price_soft	price_hard	display_fire_rate	display_power	unlock_level			
狙击枪A	12	3	1365	0.6	19	121500	245	1	285	17			
狙击枪A	12	4	1470	0.6	22	212500	355	1	344	17			
狙击枪A	12	5	1575	0.6	24	317500	455	1	394	17			
近战A	20	0	240	0.32	1	37000	125	2.7	107	16			
近战A	20	1	300	0.31	1	12000	30	2.8	135	16			
近战A	20	2	360	0.3	1	19000	65	2.9	164	16			
近战A	20	3	420	0.29	1	29000	95	3	193	16			
近战A	20	4	480	0.28	1	39500	130	3.1	222	16			
近战A	20	5	540	0.27	1	66500	165	3.2	253	16			
自动步枪A	9	0	100	0.11	120	75000	250	9.1	146	19			
自动步枪A	9	1	115	0.11	132	22000	60	9.1	179	19			
自动步枪A	9	2	130	0.11	144	36000	120	9.1	215	19			
自动步枪A	9	3	145	0.11	156	75000	190	9.1	255	19			
自动步枪A	9	4	160	0.11	168	130000	260	9.1	297	19			
自动步枪A	9	5	175	0.11	180	202500	340	9.1	343	19			
近战D（电锯）	17	0	144	0.1	1	345000	575	10	236	35			
近战D（电锯）	17	1	187	0.1	1	121000	175	10	307	35			
近战D（电锯）	17	2	230	0.1	1	276000	345	10	377	35			
近战D（电锯）	17	3	274	0.1	1	466000	520	10	450	35			
近战D（电锯）	17	4	317	0.1	1	690500	690	10	520	35			
近战D（电锯）	17	5	360	0.1	1	1294500	865	10	591	35			
自动步枪D	14	0	165	0.05	320	7800000	2600	20	551	60			
自动步枪D	14	1	191	0.05	352	2200000	625	20	685	60			
自动步枪D	14	2	221	0.05	384	4450000	1275	20	846	60			
自动步枪D	14	3	254	0.05	416	7000000	2005	20	1034	60			
自动步枪D	14	4	290	0.05	448	9750000	2785	20	1251	60			
自动步枪D	14	5	330	0.05	480	14450000	3615	20	1505	60			
手枪D	13	0	750	0.6	16	85000	285	1.6	159	25			
手枪D	13	1	825	0.6	19	24500	65	1.6	196	25			
手枪D	13	2	900	0.6	22	54500	135	1.6	237	25			
手枪D	13	3	975	0.6	26	114500	230	1.6	289	25			
手枪D	13	4	1050	0.6	29	190000	315	1.6	338	25			
手枪D	13	5	1125	0.6	32	285000	410	1.6	390	25			
RPGA	16	0	1500	0.83	12	285000	470	1.1	234	30			
RPGA	16	1	1620	0.83	16	130000	145	1.1	307	30			
RPGA	16	2	1740	0.83	20	280000	310	1.1	388	30			
RPGA	16	3	1860	0.83	24	590000	490	1.1	477	30			
RPGA	16	4	1980	0.83	28	1025000	685	1.1	574	30			
RPGA	16	5	2100	0.83	32	1795000	895	1.1	679	30			
Throw_C	26	0	121	0.42	16	500	5	2.2	26	3			
Throw_C	26	1	131	0.42	21	500	1	2.2	33	3			
Throw_C	26	2	140	0.42	27	500	5	2.2	41	3			
Throw_C	26	3	150	0.42	32	1000	5	2.2	50	3			
Spray_A	23	0	16	0.1	10	1500	10	6.7	-1	4			
Spray_A	23	1	24	0.1	13	3500	20	6.7	-1	5			
Spray_A	23	2	34	0.1	16	8500	40	6.7	-1	5			
Spray_A	23	3	46	0.1	19	16500	80	6.7	-1	5			
Spray_A	23	4	60	0.1	22	36000	180	6.7	-1	5			
Throw_A	24	0	100	8	4	3500	20	8	-1	7			
Throw_A	24	1	300	10	5	8000	40	10	-1	8			
Throw_A	24	2	600	12	6	23000	115	12	-1	8			
Throw_A	24	3	1000	14	7	46000	230	14	-1	8			
Throw_A	24	4	2000	16	8	96000	480	16	-1	8			
Throw_E	28	0	240	0.42	20	6000	30	2.2	58	9			
Throw_E	28	1	276	0.42	23	1500	10	2.2	73	9			
Throw_E	28	2	312	0.42	26	3000	15	2.2	90	9			
Throw_E	28	3	348	0.42	29	5000	25	2.2	108	9			
Shotgun_D	21	0	400	0.6	20	60500	200	1.7	125	18			
Shotgun_D	21	1	480	0.6	22	21500	55	1.7	160	18			
Shotgun_D	21	2	560	0.6	24	47500	120	1.7	199	18			
Shotgun_D	21	3	640	0.6	26	92500	185	1.7	240	18			
Shotgun_D	21	4	720	0.6	28	154500	255	1.7	285	18			
Shotgun_D	21	5	800	0.6	30	235000	335	1.7	334	18			
Shotgun_E	22	0	200	0.6	12	1250000	998	1.7	55	45			
Shotgun_E	22	1	220	0.6	14	1250000	625	1.7	66	45			
Shotgun_E	22	2	240	0.6	17	3000000	1500	1.7	81	45			
Shotgun_E	22	3	260	0.6	19	5650000	2255	1.7	94	45			
Shotgun_E	22	4	280	0.6	22	9750000	3255	1.7	112	45			
Shotgun_E	22	5	300	0.6	24	18600000	4130	1.7	128	45			
Throw_B	25	0	300	0.84	15	55500	185	1.2	124	22			
Throw_B	25	1	345	0.84	16	15500	40	1.2	148	22			
Throw_B	25	2	390	0.84	17	24500	80	1.2	173	22			
Throw_B	25	3	435	0.84	18	45000	130	1.2	199	22			
Throw_B	25	4	480	0.84	19	70000	175	1.2	227	22			
Throw_B	25	5	525	0.84	20	112000	225	1.2	256	22			
Throw_D	27	0	20	0.42	8	230000	380	2.4	-1	40			
Throw_D	27	1	24	0.42	8	455000	650	2.4	-1	40			
Throw_D	27	2	28	0.42	8	765000	850	2.4	-1	40			
Throw_D	27	3	32	0.42	8	1025000	1025	2.4	-1	40			
Throw_D	27	4	36	0.42	8	1470000	1225	2.4	-1	40			
Throw_D	27	5	40	0.42	8	2100000	1400	2.4	-1	40			
